"","celex","year","month","delegation.ratio","constraint.ratio","discretion.index"
"556","31987R0246",1987,1,0.4,0.166666666666667,0.333333333333333
"557","31987R0252",1987,1,0,0.0833333333333333,0
"558","31987R0253",1987,1,0,0.25,0
"559","31987R0254",1987,1,0,0.166666666666667,0
"560","31987R0255",1987,1,0,0.166666666666667,0
"561","31987R0261",1987,1,0,0,0
"562","31987R0277",1987,1,0,0.5,0
"563","31987R0279",1987,1,0,0,0
"564","31987R0315",1987,1,0,0,0
"565","31988L0014",1988,1,0.333333333333333,0,0.333333333333333
"566","31988L0035",1988,1,0,0,0
"567","31988R0015",1988,1,0,0,0
"568","31988R0016",1988,1,0,0,0
"569","31988R0025",1988,1,0,0,0
"570","31988R0034",1988,1,0,0,0
"571","31988R0035",1988,1,0,0.0833333333333333,0
"572","31988R0052",1988,1,0,0,0
"573","31988R0053",1988,1,0,0.0833333333333333,0
"574","31988R0054",1988,1,0,0,0
"575","31988R0055",1988,1,0,0,0
"576","31988R0056",1988,1,0,0,0
"577","31988R0057",1988,1,0,0,0
"578","31988R0078",1988,1,0,0,0
"579","31988R0079",1988,1,0,0,0
"580","31988R0091",1988,1,0,0,0
"581","31988R0092",1988,1,0,0.166666666666667,0
"582","31988R0094",1988,1,0,0,0
"583","31988R0095",1988,1,0,0,0
"584","31988R0124",1988,1,0,0,0
"585","31988R0133",1988,1,0,0,0
